item_id,item_name,item_description,item_category,label,confidence_score,reasoning
92257519,Hummus,"Made with the freshest ingredients, including chickpeas, tahini and lemon juice, resulting in a creamy and flavorful dip that's perfect for any occasion.",Appetizers,vegetarian,1,
92257520,Muttabal,"Made with cooked and mashed eggplants, mixed with tahini, garlic and lemon juice, perfect as a side dish.",Appetizers,vegetarian,1,
93082344,Falafel Sandwich,"Made with deep-fried balls of ground chickpeas and spices, served in a bread with various toppings such as tahini, tomatoes, and parsley, it's a perfect meal for vegetarians.",Sandwiches,vegetarian,0.8,
94604497,Lentil Soup,"Made with a blend of lentils, vegetables, and spices, it's a healthy and satisfying option.",Soup,vegetarian,0.9,
94647577,Sprite,Non-caffeinated soft drink,Beverage,vegetarian,0.8,
94647584,Mountain Dew,"The original citrus-flavored soft drink with a bold and daring taste. With high caffeine content and a unique combination of flavors, it's the perfect choice for those who want to fuel their adrenaline and thirst in one shot.",Beverage,vegetarian,0.8,
94647544,Lemon Mint Juice,"Made with a blend of fresh lemons, mint, and a touch of sweetness, it's a perfect thirst quencher and great to enjoy anytime of the day.",Beverage,vegetarian,1,
94647543,Orange Juice,"Made capturing all the natural sweetness and tangy citrus flavor. Packed with Vitamin C, it's the perfect thirst quencher and a healthy addition to your daily diet.",Beverage,vegetarian,1,
94647542,Lemon Juice,"Made with real lemons and a hint of sweetness. Perfectly balanced, it's a great way to quench your thirst and enjoy the taste of fresh lemons any time of the day.",Beverage,vegetarian,1,
94647565,Classic Mojito,"Made with lime, mint and a splash of soda water and will transport you to a tropical paradise.",Beverage,vegetarian,1,
94647545,Watermelon Juice,Refreshing and hydrating beverage made from freshly squeezed watermelon. It is a natural source of vitamins and minerals,Beverage,vegetarian,1,
94647575,Coca-Cola,Carbonated soft drink,Beverage,vegetarian,0.9,
94604472,Falafel Sandwich,"Made with deep-fried balls of ground chickpeas and spices, served in a bread with various toppings such as tahini, tomatoes, and parsley, it's a perfect meal for vegetarians.",Breakfast,vegetarian,0.8,
106313787,White Rice,"Get a perfect complement to your meal with our high-quality White Rice. Made from premium quality long-grain rice, it is carefully cleaned, processed to retain its natural taste and texture.",Rice,vegetarian,1,
106302386,French Fries,"Fried to a golden crisp perfection and perfectly seasoned, perfect accompaniment to any meal.",Extra,vegetarian,0.9,
115913403,Potato Wedges,"Made with potatoes, cut into wedges, and seasoned with a blend of herbs and spices, they're a perfect side dish or snack to enjoy with any meal.",Extra,vegetarian,0.95,
73250735,Lentil Soup,"Made with a blend of lentils, vegetables, and spices, it's a healthy and satisfying option.",Soups,vegetarian,0.9,
113051180,Chicken Soup,"Warm your soul with chunks of chicken and a rich broth, make perfect comfort food for any day",Soups,non-vegetarian,1,
1237145084,Diet 7 Up,Carbonated soft drink with zero sugar & zero calories,Drinks,vegetarian,0.85,
106313713,Watermelon Juice,Refreshing and hydrating beverage made from freshly squeezed watermelon. It is a natural source of vitamins and minerals,Drinks,vegetarian,1,
73250745,Pepsi,Carbonated soft drink,Drinks,vegetarian,1,
73250752,7 Up,Non-caffeinated soft drink,Drinks,vegetarian,1,
106313699,Carrot Juice,"Made with freshly squeezed carrots, it's a rich source of Vitamin A and other essential nutrients, perfect for those looking for a healthy and delicious drink.",Drinks,vegetarian,1,
106313710,Apple Juice,Made with a blend of juicy apples,Drinks,vegetarian,1,
73250738,Orange Juice,"Made capturing all the natural sweetness and tangy citrus flavor. Packed with Vitamin C, it's the perfect thirst quencher and a healthy addition to your daily diet.",Drinks,vegetarian,1,
73250753,Mirinda Orange,"Made with real orange juice and a touch of sweetener, it's a delicious and bubbly treat that will make your taste buds dance.",Drinks,vegetarian,1,
73250746,Water,Stay hydrated and refreshed with our water.,Drinks,vegetarian,1,
1236946168,Diet Pepsi,Carbonated soft drink with zero sugar & zero calories,Drinks,vegetarian,0.9,
314719804,Mountain Dew,"The original citrus-flavored soft drink with a bold and daring taste. With high caffeine content and a unique combination of flavors, it's the perfect choice for those who want to fuel their adrenaline and thirst in one shot.",Drinks,vegetarian,0.8,
73250749,Tea,"Savor the rich aroma and taste of our premium tea, expertly blended to create a perfect tea drinking experience.",Drinks,vegetarian,1,
73250722,Hummus,"Made with the freshest ingredients, including chickpeas, tahini and lemon juice, resulting in a creamy and flavorful dip that's perfect for any occasion.",Appetizer,vegetarian,1,
73250724,Tabbouleh,"Made with finely chopped parsley, tomatoes, and onions, mixed with mint, and a lemon dressing. A perfect blend of flavors and textures, making it a refreshing and healthy side dish or a satisfying light meal.",Appetizer,vegetarian,1,
73250729,Fattoush,"Made with fresh vegetables, herbs and toasted pita bread. Our Fattoush salad is made with crisp lettuce, tomatoes, cucumbers, onions, parsley and mint, making it a perfect side dish or a satisfying light meal.",Appetizer,vegetarian,1,
767759972,Cheese Samosa,"Savory pastries filled with a delectable mixture of melted cheese, herbs, and spices, wrapped in a crispy and golden pastry shell",Appetizer,vegetarian,1,
73250730,Arabic Salad,Made with a mix of fresh vegetables and dressed with lemon juice and olive oil. it's a healthy and delicious option for those looking for a side dish or a light meal.,Appetizer,vegetarian,1,
767767403,Garlic Paste,Paste made from crushed garlic cloves.,Appetizer,vegetarian,1,
179792507,Ash Reshteh,,Today'S Special,vegetarian,0.9,
82882063,Chicken Pizza,Perfect meal for pizza lovers who loves the taste of chicken and want a little more protein in their pizza.,Pizza,non-vegetarian,1,
84573833,Diet Pepsi,Carbonated soft drink with zero sugar & zero calories,Drinks,vegetarian,0.9,
80792953,Pepsi,Carbonated soft drink,Drinks,vegetarian,1,
80792958,Mirinda,Carbonated soft drink,Drinks,vegetarian,0.9,
81596149,7 Up,Non-caffeinated soft drink,Drinks,vegetarian,1,
80553401,French Fries,"Fried to a golden crisp perfection and perfectly seasoned, perfect accompaniment to any meal.",Appetizers,vegetarian,0.9,
80553400,Tabbouleh,"Made with finely chopped parsley, tomatoes, and onions, mixed with mint, and a lemon dressing. A perfect blend of flavors and textures, making it a refreshing and healthy side dish or a satisfying light meal.",Appetizers,vegetarian,1,
80553399,Fattoush,"Made with fresh vegetables, herbs and toasted pita bread. Our Fattoush salad is made with crisp lettuce, tomatoes, cucumbers, onions, parsley and mint, making it a perfect side dish or a satisfying light meal.",Appetizers,vegetarian,1,
80553398,Green Salad,Healthy and delicious - made from a variety of fresh greens that can be topped with a dressing to add flavor and nutrition. it's a great option for a light lunch or as a side dish to complement any meal.,Appetizers,vegetarian,0.8,
80553394,Hummus,"Made with the freshest ingredients, including chickpeas, tahini and lemon juice, resulting in a creamy and flavorful dip that's perfect for any occasion.",Appetizers,vegetarian,1,
718900501,Zaatar Croissant,"A buttery croissant layers filled with zaatar, the perfect fusion of cultures in every bite!",Pastries,vegetarian,0.9,
667235132,Cheese Croissant,Savor with flaky layers of buttery pastry filled with creamy melted cheese and baked to golden perfection.It's perfect side dish for breakfast,Pastries,vegetarian,0.9,
167585817,Hot Chocolate,"Made with rich cocoa powder, it's the perfect treat when you just want to indulge in something sweet.",Hot Drinks,vegetarian,0.7,
167585813,Cappuccino,"Made with espresso and steamed milk creating rich, velvety taste.",Hot Drinks,vegetarian,1,
167585811,Americano,"Made with freshly brewed espresso and hot water, it's the perfect choice for coffee lovers who appreciate a strong and robust taste.",Hot Drinks,vegetarian,1,
247541332,Sprite,Non-caffeinated soft drink,Beverages,vegetarian,0.8,
172416260,Coca-Cola,Carbonated soft drink,Beverages,vegetarian,0.9,
90402203,French Fries,"Fried to a golden crisp perfection and perfectly seasoned, perfect accompaniment to any meal.",Appetizers,vegetarian,0.9,
133963513,Dynamite Shrimp,"Made crispy, golden-fried shrimp coated in a spicy mayo sauce for a tantalizing treat that will leave you craving more.",Appetizers,non-vegetarian,1,
118327418,Strawberry Milkshake,"Made with strawberries and creamy vanilla ice cream for a sweet and satisfying treat. Perfect for any time of the day, our milkshake is sure to be a hit with anyone who loves the taste of fresh strawberries.",Juices And Shakes,vegetarian,0.9,
931340639,Fresh Pineapple Juice,"A sweet, tropical drink made by blending the flesh of a pineapple. It is a rich source of vitamin C and contains enzymes that can aid digestion.",Juices,vegetarian,0.9,
931340643,Pomegranate Juice,"Made from carefully selected, ripe pomegranates, it's a perfect balance of sweet and tangy that's packed with antioxidants, making it a healthy and delicious drink option.",Juices,vegetarian,1,
931340697,Labneh Manoucheh,"Soft and fluffy flatbread topped with creamy labneh, herbs, and a drizzle of olive oil, creating a harmonious blend of flavors.",Manakish,vegetarian,0.95,
931340700,Zaatar Manoucheh,"Thin flatbread, topped with a generous amount of zaatar spice blend, olive oil, and herbs",Manakish,vegetarian,1,
931340695,Kraft Cheese Manoucheh,,Manakish,vegetarian,0.85,
931340749,Mineral Water,Stay hydrated and refreshed with our mineral water.,Beverages,vegetarian,1,
931340687,Strawberry Mojito,"Made with fresh strawberries, mint leaves, lime juice and a splash of soda. A perfect balance of sweet and tangy, it's a great way to quench your thirst.",Cocktails,vegetarian,1,
1476792379,Diet Pepsi,,Beverages,vegetarian,0.95,
1476792378,Pepsi,,Beverages,vegetarian,0.9,
1019900541,Grape Leaves,"Experience our  Grape Leaves, stuffed with a delectable mixture of fragrant herbs, seasoned rice, and juicy tomatoes, all rolled up into a tender and flavorful package",Dishes,vegetarian,1,
1019900544,Stuffed Potato,,Dishes,vegetarian,0.5,
1019900551,Water,Stay hydrated and refreshed with our water.,Soft Drinks,vegetarian,1,
1019900547,Mountain Dew,"The original citrus-flavored soft drink with a bold and daring taste. With high caffeine content and a unique combination of flavors, it's the perfect choice for those who want to fuel their adrenaline and thirst in one shot.",Soft Drinks,vegetarian,0.8,
1019900549,7 Up,Non-caffeinated soft drink,Soft Drinks,vegetarian,1,
1019900555,Mirinda,Carbonated soft drink,Soft Drinks,vegetarian,0.9,
1019900545,Pepsi,Carbonated soft drink,Soft Drinks,vegetarian,1,
1035969093,Fanta Orange,Carbonated soft drink,Soft Drinks And Water,vegetarian,0.9,
1035969120,Mineral Water,Stay hydrated and refreshed with our mineral water.,Soft Drinks And Water,vegetarian,1,
1035969085,Sprite,Non-caffeinated soft drink,Soft Drinks And Water,vegetarian,0.8,
1282515813,Mountain Dew,"The original citrus-flavored soft drink with a bold and daring taste. With high caffeine content and a unique combination of flavors, it's the perfect choice for those who want to fuel their adrenaline and thirst in one shot.",Soft Drinks And Water,vegetarian,0.8,
86076441,Vegetables Pizza,"Made with veggies, cheese and savory tomato sauce,  it's a perfect meal for pizza lovers who want a classic and delicious pizza.",Pizza,vegetarian,0.95,
86076469,Pepperoni Pizza,"Made with a classic tomato sauce, mozzarella cheese, and sliced pepperoni, it's a perfect meal for pizza lovers who want a classic and delicious pizza.",Pizza,non-vegetarian,1,
86076333,French Fries,"Fried to a golden crisp perfection and perfectly seasoned, perfect accompaniment to any meal.",Hot Appetizers,vegetarian,0.9,
86076273,Fried Eggs,"Indulge in the simple perfection of Fried Eggs, with their golden yolks and tender whites, creating a satisfying breakfast or versatile addition to any meal.",Breakfast Meals,vegetarian,1,
86076316,Muttabal,"Made with cooked and mashed eggplants, mixed with tahini, garlic and lemon juice, perfect as a side dish.",Cold Appetizers,vegetarian,1,
86076322,Fattoush Salad,"Made with fresh vegetables, herbs and toasted pita bread. Our Fattoush salad is made with crisp lettuce, tomatoes, cucumbers, onions, parsley and mint, making it a perfect side dish or a satisfying light meal.",Cold Appetizers,vegetarian,1,
86076315,Hummus,"Made with the freshest ingredients, including chickpeas, tahini and lemon juice, resulting in a creamy and flavorful dip that's perfect for any occasion.",Cold Appetizers,vegetarian,1,
86076321,Tabbouleh Salad,"Made with finely chopped parsley, tomatoes, and onions, mixed with bulgur wheat, mint, and a lemon dressing. A perfect blend of flavors and textures, making it a refreshing and healthy side dish or a satisfying light meal.",Cold Appetizers,vegetarian,0.99,
86076323,Rocca Salad,"Made with a combination of fresh arugula, parmesan cheese, and other toppings, it's a simple yet delicious salad that is perfect as a side dish or a light meal.",Cold Appetizers,vegetarian,0.95,
86076320,Arabic Salad,Made with a mix of fresh vegetables and dressed with lemon juice and olive oil. it's a healthy and delicious option for those looking for a side dish or a light meal.,Cold Appetizers,vegetarian,1,
86076401,Watermelon Juice,Refreshing and hydrating beverage made from freshly squeezed watermelon. It is a natural source of vitamins and minerals,Juices and sweets,vegetarian,1,
86076389,Avocado Juice,"Made from freshly pressed avocados, it's packed with healthy fats, vitamins and minerals, making it a nutritious and delicious drink option.",Juices and sweets,vegetarian,0.99,
167296721,7 Up,Non-caffeinated soft drink,Juices and sweets,vegetarian,1,
285463063,Custard,"Indulge in the creamy and velvety texture of our classic Custard, made with rich and silky smooth vanilla custard, delivering a delectable and comforting taste experience that will leave you satisfied.",Juices and sweets,vegetarian,0.9,
167296757,Mountain Dew,"The original citrus-flavored soft drink with a bold and daring taste. With high caffeine content and a unique combination of flavors, it's the perfect choice for those who want to fuel their adrenaline and thirst in one shot.",Juices and sweets,vegetarian,0.8,
167296717,Pepsi,Carbonated soft drink,Juices and sweets,vegetarian,1,
86076395,Mango Juice,"Made from the freshest, ripest mangos, carefully selected for the perfect balance of sweetness and tanginess.",Juices and sweets,vegetarian,0.9,
86076404,Orange Juice,"Made capturing all the natural sweetness and tangy citrus flavor. Packed with Vitamin C, it's the perfect thirst quencher and a healthy addition to your daily diet.",Juices and sweets,vegetarian,1,
86076392,Pomegranate Juice,"Made from carefully selected, ripe pomegranates, it's a perfect balance of sweet and tangy that's packed with antioxidants, making it a healthy and delicious drink option.",Juices and sweets,vegetarian,1,
86076398,Strawberry Juice,"Refreshing and delicious, rich in natural vitamins and minerals. Healthy alternative to sugary drinks.",Juices and sweets,vegetarian,1,
269043773,Mirinda Orange,"Made with real orange juice and a touch of sweetener, it's a delicious and bubbly treat that will make your taste buds dance.",Juices and sweets,vegetarian,1,
180031044,Eggplant,"Served with white vermicelli rice and lentil soup, in addition to a serving of vegetables and pickles",Daily dish thursday,vegetarian,1,
286476393,Shawarma Shaker Sandwich,,Al Bait Al Shami Shawarma,non-vegetarian,0.95,
165684585,Meat Shawarma Sandwich,"Made with tender marinated meat, served with pickles and wrapped in warm pita bread for delicious meal in every bite.",Al Bait Al Shami Shawarma,non-vegetarian,1,
269078721,Chicken Liver Sandwich,"Made with perfectly seared chicken liver, crisp lettuce, and a zesty sauce all nestled between two slices of freshly baked bread for a sandwich experience that is truly out of this world.",Al Shami Eastern And Western Sandwiches,non-vegetarian,1,
154883184,Fanta,Carbonated soft drink,Soft Drinks,vegetarian,0.9,
102507934,Sprite,Non-caffeinated soft drink,Soft Drinks,vegetarian,0.8,
102507936,Mineral Water,Stay hydrated and refreshed with our mineral water.,Soft Drinks,vegetarian,1,
1201037089,Big Party Box For 8 Persons,"4 large Neapolitana pizza, 3 starters and 4 dips",Game Day Combos,non-vegetarian,0.7,
1201037087,Daily Lama For 4 Persons,"2 large napolitana pizzas, 1 appetizer, 2 sauces",Game Day Combos,non-vegetarian,0.5,
1201037088,Wow Triple For 6 Person,"3 large napolitana pizza, 2 appetizers and 3 dips",Game Day Combos,non-vegetarian,0.5,
389244971,Cut's Half N Half Box,2 Large Half Pizza - 2 Starter - 2 Dips,Cut's Half N Half Box,non-vegetarian,0.7,
1203676900,French Fries,"Fried to a golden crisp perfection and perfectly seasoned, perfect accompaniment to any meal.",Kids Menu,vegetarian,0.9,
1203880941,Green Tea,"Savor the delicate aroma and taste of our premium green tea, expertly harvested and processed to preserve their natural antioxidants and health benefits.",Hot Beverages,vegetarian,1,
1203880149,Mineral Water Small,"Quench your thirst with the crisp and refreshing taste of our premium Mineral Water Small, to deliver pure hydration in every sip.",Hot Beverages,vegetarian,1,
1203842341,Tea,"Savor the rich aroma and taste of our premium tea, expertly blended to create a perfect tea drinking experience.",Hot Beverages,vegetarian,1,
1203826230,Mineral Water Small,"Quench your thirst with the crisp and refreshing taste of our premium Mineral Water Small, to deliver pure hydration in every sip.",Cold Beverages,vegetarian,1,
1202120324,Veg Cutlet,"A Vegetarian Snack made of Mashed Vegetables Mixed with Spices and Breadcrumbs, Shaped into Patties and Fried.
",Indian Starter,vegetarian,1,
1477977007,Mysore Bonda,,Ramadan Snacks,vegetarian,0.7,
1202008942,Tandoori Sizzler,,Meals And Combos,non-vegetarian,0.7,
1203602830,Masala Pappad,"A Spicy, Crispy Snack made from a Thin Wafer-Like Cracker.
",Raitha And Pappad,vegetarian,0.8,
